,,,,決算期,決算月数,連結基準フラグ,決算種別フラグ,決算発表日,売上高・営業収益［累計］,売上総利益［累計］,営業利益［累計］,経常利益／税金等調整前当期純利益［累計］,売上高・営業収益［３ヵ月］,売上総利益［３ヵ月］,営業利益［３ヵ月］,経常利益／税金等調整前当期純利益［３ヵ月］,当期純利益（連結）［累計］,当期純利益（連結）［３ヵ月］,１株当たり利益［累計］,１株当たり利益（遡及調整後）［累計］,１株当たり利益［３ヵ月］,１株当たり利益（遡及調整後）［３ヵ月］,潜在株式調整後１株当たり利益［累計］,潜在株式調整後１株当たり利益（遡及調整後）［累計］,潜在株式調整後１株当たり利益［３ヵ月］,潜在株式調整後１株当たり利益（遡及調整後）［３ヵ月］,棚卸資産,資本的支出,期末従業員数,販売費及び一般管理費［累計］,販売費及び一般管理費［３ヵ月］,受取手形・売掛金／売掛金及びその他の短期債権
,,,,FINFSTA'ACC,FINFSTA'MACC,FINFSTA'A01_SECFLG,FINFSTA'A01_HACC,FINFSTA'A01036,FINFSTA'D01021,FINFSTA'D01026,FINFSTA'D01029,FINFSTA'D01066,FINFSTA'E01021,FINFSTA'E01026,FINFSTA'E01029,FINFSTA'E01066,FINFSTA'D01114,FINFSTA'E01114,FINFSTA'A01059,FINFSTA'A01161,FINFSTA'A01060,FINFSTA'A01162,FINFSTA'A01062,FINFSTA'A01164,FINFSTA'A01063,FINFSTA'A01165,FINFSTA'B01034,FINFSTA'I_A01143,FINFSTA'H01021,FINFSTA'D01027,FINFSTA'E01027,FINFSTA'B01023
,,,,年月,ヶ月,1桁コード,2桁コード,年月日,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,円,円,円,円,円,円,円,円,百万円,百万円,人,百万円,百万円,百万円
月次(M),1997/03,トヨタ自動車,T7203,1997/03,12,1,10,-,12243834,2318060,665114,708299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,561621,-,150736,1652945,-,1237850
月次(M),1997/09,トヨタ自動車,T7203,1997/09,6,0,22,-,3797551,746233,285284,324555,-,-,-,-,-,-,49.34,-,-,-,-,-,-,-,206987,-,71076,460948,-,710989
月次(M),1998/03,トヨタ自動車,T7203,1998/03,12,1,10,-,11678397,2541335,779797,828791,-,-,-,-,-,-,119.43,-,-,-,118.76,-,-,-,735428,-,159035,1761537,-,1162059
月次(M),1998/09,トヨタ自動車,T7203,1998/09,6,1,22,1998/11/20,6189562,1471570,403180,408431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,814296,-,-,1068389,-,1126976
月次(M),1999/03,トヨタ自動車,T7203,1999/03,12,1,10,-,12749008,2916855,774945,771885,-,-,-,-,-,-,94.21,-,-,-,-,-,-,-,773438,-,183879,2141910,-,1216268
月次(M),1999/09,トヨタ自動車,T7203,1999/09,6,1,22,1999/11/18,6225323,1444697,362555,404539,-,-,-,-,-,-,-,-,-,-,-,-,-,-,813636,-,-,1082140,-,1036402
月次(M),2000/03,トヨタ自動車,T7203,2000/03,12,1,10,2000/05/17,12879561,2967143,775982,797058,-,-,-,-,-,-,109.95,-,-,-,-,-,-,-,823756,865865,210709,2191161,-,1310958
月次(M),2000/09,トヨタ自動車,T7203,2000/09,6,1,22,2000/11/15,6423517,1443322,376102,393926,-,-,-,-,-,-,43.2,-,-,-,-,-,-,-,815470,633529,214976,1067220,-,1121777
月次(M),2001/03,トヨタ自動車,T7203,2001/03,12,2,10,2001/07/26,13137070,2918471,790729,1107289,-,-,-,-,-,-,180.65,-,-,-,180.65,-,-,-,876252,1201406,-,2127742,-,1304870
月次(M),2001/09,トヨタ自動車,T7203,2001/09,6,1,22,2001/11/08,6833560,1601882,506581,526649,-,-,-,-,-,-,80.27,-,-,-,-,-,-,-,918718,749193,239767,1095301,-,1407435
月次(M),2002/03,トヨタ自動車,T7203,2002/03,12,2,10,2002/08/07,14316874,3442419,1093632,972101,-,-,-,-,-,-,152.26,-,-,-,152.26,-,-,-,961840,1548593,-,2348787,-,1485117
月次(M),2002/06,トヨタ自動車,T7203,2002/06,3,1,21,2002/08/07,4021134,980461,394518,449936,4021134,980461,394518,449936,-,-,100.8,-,100.8,-,-,-,-,-,960431,-,-,585942,585942,1292182
月次(M),2002/09,トヨタ自動車,T7203,2002/09,6,2,22,2002/12/26,7613422,1820582,685023,714461,-,-,-,-,-,-,118.44,-,-,-,118.44,-,-,-,927040,808702,-,1135559,-,1245733
月次(M),2002/12,トヨタ自動車,T7203,2002/12,9,1,23,2003/02/05,12073459,-,1110264,1164296,4186777,1016004,379436,370268,-,-,221.67,-,62.94,-,221.67,-,62.94,-,1042173,-,-,-,636567,1339274
月次(M),2003/03,トヨタ自動車,T7203,2003/03,12,2,10,2003/07/31,15501553,3587308,1271646,1226652,-,-,-,-,-,-,211.32,-,-,-,211.32,-,-,-,1025838,1610229,-,2315662,-,1475797
月次(M),2003/06,トヨタ自動車,T7203,2003/06,3,2,21,2003/08/05,4092939,953636,340772,371279,4092939,953636,340772,371279,-,-,64.83,-,64.83,-,-,-,-,-,1054208,-,-,612864,612864,1335846
月次(M),2003/09,トヨタ自動車,T7203,2003/09,6,2,22,2003/11/05,8224241,1949877,767769,812013,-,-,-,-,-,-,153.36,-,-,-,153.35,-,-,-,1059824,743976,265532,1182108,-,1325168
月次(M),2003/12,トヨタ自動車,T7203,2003/12,9,2,23,2004/02/05,12610300,-,1169462,1241719,4386059,998333,401693,429705,-,-,-,-,84.83,-,-,-,84.82,-,1070562,-,-,-,596640,1313066
月次(M),2004/03,トヨタ自動車,T7203,2004/03,12,2,10,2004/05/11,17294760,3788423,1666890,1765793,-,-,-,-,-,-,342.9,-,-,-,342.86,-,-,-,1083326,1488541,264410,2121533,-,1560617
月次(M),2004/06,トヨタ自動車,T7203,2004/06,3,2,21,2004/08/03,4510316,1046536,448620,470429,4510316,1046536,448620,470429,-,-,86.24,-,86.24,-,86.22,-,86.22,-,1124779,-,-,597916,597916,1383492
月次(M),2004/09,トヨタ自動車,T7203,2004/09,6,2,22,2004/11/01,9025665,2064144,866249,913215,-,-,-,-,-,-,176.32,-,-,-,176.28,-,-,-,1191041,900594,269310,1197895,-,1425716
月次(M),2004/12,トヨタ自動車,T7203,2004/12,9,2,23,2005/02/03,13669727,-,1289149,1360403,4644062,956133,422900,447188,-,-,-,-,90.35,-,-,-,90.33,-,1181228,-,-,-,533233,1381343
月次(M),2005/03,トヨタ自動車,T7203,2005/03,12,2,10,2005/05/10,18551526,4051244,1672187,1754637,4881900,-,383000,394300,-,-,355.35,-,-,-,355.28,-,-,-,1306709,1923240,265753,2379057,-,1832381
月次(M),2005/06,トヨタ自動車,T7203,2005/06,3,2,21,2005/08/03,4981785,1103698,405128,421860,4981785,1103698,405128,421860,-,-,81.8,-,81.8,-,81.79,-,81.79,-,1386647,-,-,698570,698570,1427076
月次(M),2005/09,トヨタ自動車,T7203,2005/09,6,2,22,2005/11/04,9953160,2242892,809491,855997,-,-,-,-,-,-,175.13,-,-,-,175.1,-,-,-,1443333,1341262,278622,1433401,-,1631301
月次(M),2005/12,トヨタ自動車,T7203,2005/12,9,2,23,2006/02/07,15286547,-,1291702,1495971,5333387,1200452,482211,639974,-,-,-,-,122.22,-,-,-,122.17,-,1549685,-,-,-,718241,1503323
月次(M),2006/03,トヨタ自動車,T7203,2006/03,12,2,10,2006/05/10,21036909,4701597,1878342,2087360,5750500,-,586700,591500,-,-,421.76,-,-,-,421.62,-,-,-,1620975,2771240,285977,2823255,-,2000171
月次(M),2006/06,トヨタ自動車,T7203,2006/06,3,2,21,2006/08/04,5638112,1281560,512419,554648,5638112,1281560,512419,554648,-,-,115.21,-,115.21,-,115.16,-,115.16,-,1642730,-,-,769141,769141,1699145
月次(M),2006/09,トヨタ自動車,T7203,2006/09,6,2,22,2006/11/07,11471889,2648137,1093425,1166134,-,-,-,-,-,-,241.36,-,-,-,241.25,-,-,-,1702959,1473251,295992,1554712,-,1769849
月次(M),2006/12,トヨタ自動車,T7203,2006/12,9,2,23,2007/02/06,17618473,-,1668214,1782076,6146584,1430467,574789,615942,-,-,-,-,133.21,-,-,-,133.13,-,1820605,-,-,-,855678,1808325
月次(M),2007/03,トヨタ自動車,T7203,2007/03,12,2,10,2007/05/09,23948091,5591836,2238683,2382516,6329700,-,570500,600500,-,-,512.09,-,-,-,511.8,-,-,-,1803956,2690195,299394,3353153,-,2048601
月次(M),2007/06,トヨタ自動車,T7203,2007/06,3,2,21,2007/08/03,6522637,1531545,675427,739040,6522637,1531545,675427,739040,-,-,153.98,-,153.98,-,153.89,-,153.89,-,1932847,-,-,856118,856118,1900258
月次(M),2007/09,トヨタ自動車,T7203,2007/09,6,2,22,2007/11/07,13012209,3005515,1272164,1362278,6489572,1176947,596737,623238,-,-,295.5,-,141.51,-,295.34,-,141.44,-,1917129,1423619,309797,1733351,580210,1909748
月次(M),2007/12,トヨタ自動車,T7203,2007/12,9,2,23,2008/02/05,19722192,4533916,1873722,2014966,6709983,1528401,601558,652688,-,-,439.98,-,144.47,-,439.78,-,144.43,-,2014097,-,-,2660194,926843,1849447
月次(M),2008/03,トヨタ自動車,T7203,2008/03,12,2,10,2008/05/08,26289240,5836902,2270375,2437222,6567100,-,396700,422300,-,-,540.65,-,-,-,540.44,-,-,-,1825716,2834662,316121,2498512,-,2057704
月次(M),2008/06,トヨタ自動車,T7203,2008/06,3,2,21,2008/08/07,6215130,1225363,412591,453054,6215130,1225363,412591,453054,-,-,112.3,-,112.3,-,112.28,-,112.28,-,2065832,709284,323650,628456,628456,1873294
月次(M),2008/09,トヨタ自動車,T7203,2008/09,6,2,22,2008/11/06,12190405,2286572,582068,636487,5975275,1061209,169477,183433,-,-,156.92,-,44.53,-,156.9,-,44.52,-,1961300,1338814,324537,1273137,644681,1716413
月次(M),2008/12,トヨタ自動車,T7203,2008/12,9,2,23,2009/02/06,16993248,2934400,221517,354348,4802843,647828,-360551,-282139,-,-,104.66,-,-52.49,-,104.66,-,-52.49,-,1858850,1831806,322045,1928967,655830,1490876
月次(M),2009/03,トヨタ自動車,T7203,2009/03,12,2,10,2009/05/08,20529570,3061154,-461011,-560381,3536322,-,-682500,-914729,-,-,-139.13,-,-244.18,-,-139.13,-,-,-,1459394,2324897,320808,2534781,-,1407783
月次(M),2009/06,トヨタ自動車,T7203,2009/06,3,2,21,2009/08/04,3836077,467217,-194863,-138508,3836077,467217,-194863,-138508,-,-,-24.82,-,-24.82,-,-24.82,-,-24.82,-,1483992,388562,324222,478125,478125,1405885
月次(M),2009/09,トヨタ自動車,T7203,2009/09,6,2,22,2009/11/05,8377643,1165249,-136859,-62975,4541566,698032,58004,75533,-,-,-17.85,-,6.96,-,-17.85,-,6.96,-,1460746,758752,322650,937578,459453,1482453
月次(M),2009/12,トヨタ自動車,T7203,2009/12,9,2,23,2010/02/04,13670533,2067608,52250,161912,5292890,902359,189109,224887,-,-,31.01,-,48.86,-,31.01,-,48.86,-,1416601,1383167,321274,1480454,542876,1631793
月次(M),2010/03,トヨタ自動車,T7203,2010/03,12,2,10,2010/05/11,18950973,2979477,147516,291468,5280440,-,95300,129556,-,-,66.79,-,35.79,-,66.79,-,-,-,1422373,1775055,320590,2119660,-,1900008
月次(M),2010/06,トヨタ自動車,T7203,2010/06,3,2,21,2010/08/04,4871825,899417,211663,263004,4871825,899417,211663,263004,210582,210582,60.74,-,60.74,-,60.74,-,60.74,-,1412370,618199,319910,518082,518082,1549333
月次(M),2010/09,トヨタ自動車,T7203,2010/09,6,2,22,2010/11/05,9678492,1584898,323120,392073,4806667,735481,111457,129069,326040,115458,92.21,-,31.47,-,92.21,-,31.47,-,1379433,893723,318001,921721,453639,1585350
月次(M),2010/12,トヨタ自動車,T7203,2010/12,9,2,23,2011/02/08,14351605,2303340,422190,521741,4673113,718442,99070,129668,436916,110876,122.06,-,29.86,-,122.06,-,29.86,-,1373625,1256704,317734,1400797,479076,1444942
月次(M),2011/03,トヨタ自動車,T7203,2011/03,12,2,10,2011/05/11,18993688,3007905,468279,563290,4642083,-,46100,41500,465485,-,130.17,-,8.1,-,130.16,-,-,-,1304242,1691191,317716,1910083,-,1461007
月次(M),2011/06,トヨタ自動車,T7203,2011/06,3,2,21,2011/08/02,3441050,465719,-107963,-80531,3441050,465719,-107963,-80531,2859,2859,0.37,-,0.37,-,0.37,-,0.37,-,1383782,369928,322046,412146,412146,1388872
月次(M),2011/09,トヨタ自動車,T7203,2011/09,6,2,22,2011/11/08,8015922,1132034,-32573,-1403,4574872,666315,75390,79128,106333,103474,26.02,-,25.65,-,26.02,-,25.65,-,1429363,754138,322809,859453,447307,1573116
月次(M),2011/12,トヨタ自動車,T7203,2011/12,9,2,23,2012/02/07,12881127,1871192,117111,197199,4865205,739158,149684,198602,208056,101723,51.83,-,25.81,-,51.83,-,25.81,-,1465876,1018390,324747,1320339,460886,1560153
月次(M),2012/03,トヨタ自動車,T7203,2012/03,12,2,10,2012/05/09,18583653,2787735,355627,432873,5702500,-,238500,235600,368302,-,90.21,-,38.22,-,90.2,-,-,-,1622282,1532082,325905,1839462,-,2012831
月次(M),2012/06,トヨタ自動車,T7203,2012/06,3,2,21,2012/08/03,5501573,960700,353143,415203,5501573,960700,353143,415203,321630,321630,91.68,-,91.68,-,91.68,-,91.68,-,1625803,439043,328762,475598,475598,1770548
月次(M),2012/09,トヨタ自動車,T7203,2012/09,6,2,22,2012/11/05,10908354,1923078,693750,794537,5406781,962378,340607,379334,607548,285918,173.13,-,81.45,-,173.13,-,81.44,-,1566995,842528,330189,964269,488671,1697071
月次(M),2012/12,トヨタ自動車,T7203,2012/12,9,2,23,2013/02/05,16227106,2806313,818507,925786,5318752,883235,124757,131249,729631,122083,204.68,-,31.55,-,204.67,-,31.55,-,1623827,1361691,331876,1560208,595939,1568066
月次(M),2013/03,トヨタ自動車,T7203,2013/03,12,2,10,2013/05/08,22064192,4053623,1320888,1403649,5837000,-,502300,477800,1083482,-,303.82,-,99.14,-,303.78,-,-,-,1715786,1974152,333498,2102309,-,1987534
月次(M),2013/06,トヨタ自動車,T7203,2013/06,3,2,21,2013/08/02,6255319,1452863,663383,724163,6255319,1452863,663383,724163,603971,603971,177.45,-,177.45,-,177.32,-,177.32,-,1863046,643279,337685,569683,569683,1838834
月次(M),2013/09,トヨタ自動車,T7203,2013/09,6,2,22,2013/11/06,12537485,2831059,1255475,1343525,6282166,1378196,592092,619362,1065136,461165,315.8,-,138.35,-,315.58,-,138.26,-,1885416,1333384,338475,1159426,589743,1788720
月次(M),2013/12,トヨタ自動車,T7203,2013/12,9,2,23,2014/02/04,19122529,4282346,1855984,2022481,6585044,1451287,600509,678956,1625630,560494,481.6,-,165.8,-,481.27,-,165.7,-,1889127,2083838,338623,1796768,637342,1831092
月次(M),2014/03,トヨタ自動車,T7203,2014/03,12,2,10,2014/05/08,25691911,5703666,2292112,2441080,6569300,-,436100,418500,1991648,-,575.3,-,93.71,-,574.92,-,-,-,1894704,2779719,338875,2598660,-,2055012
月次(M),2014/06,トヨタ自動車,T7203,2014/06,3,2,21,2014/08/05,6390688,1494602,692728,771826,6390688,1494602,692728,771826,617182,617182,185.43,-,185.43,-,185.34,-,185.34,-,1972856,796300,342872,602785,602785,1793667
月次(M),2014/09,トヨタ自動車,T7203,2014/09,6,2,22,2014/11/05,12945597,3020021,1351946,1509174,6554909,1525419,659218,737348,1181479,564297,356.08,-,170.62,-,355.91,-,170.54,-,2062906,1557617,343511,1246106,643321,1918624
月次(M),2014/12,トヨタ自動車,T7203,2014/12,9,2,23,2015/02/04,20115614,4713885,2114826,2355635,7170017,1693864,762880,846461,1816968,635489,545.94,-,189.87,-,545.68,-,189.77,-,2133775,2373362,343716,1935454,689348,1986294
月次(M),2015/03,トヨタ自動車,T7203,2015/03,12,2,10,2015/05/08,27234521,6318159,2750564,2892828,7118900,-,635700,537100,2307904,-,688.02,-,141.92,-,687.66,-,-,-,2137618,3470959,344109,2642281,-,2149509
月次(M),2015/06,トヨタ自動車,T7203,2015/06,3,2,21,2015/08/04,6987648,1738858,756001,845259,6987648,1738858,756001,845259,678204,678204,205.41,-,205.41,-,205.3,-,205.3,-,2201802,1594721,349131,674482,674482,1922211
月次(M),2015/09,トヨタ自動車,T7203,2015/09,6,2,22,2015/11/05,14091488,3572701,1583405,1675151,7103840,1833843,827404,829892,1320445,642241,399.39,-,193.97,-,397.75,-,192.51,-,2195186,3079472,349508,1400545,726063,1988350
月次(M),2015/12,トヨタ自動車,T7203,2015/12,9,2,23,2016/02/05,21431370,5306224,2305671,2452912,7339882,1733523,722266,777761,1983817,663372,601.44,-,202.06,-,597.29,-,199.54,-,2104725,3773177,349766,2131219,730674,1915883
月次(M),2016/03,トヨタ自動車,T7203,2016/03,12,2,10,2016/05/11,28403118,6947032,2853971,2983381,6971700,-,548300,530400,2434211,-,741.36,-,138.9,-,735.36,-,-,-,2061511,5121960,348877,2943682,-,2084118
月次(M),2016/06,トヨタ自動車,T7203,2016/06,3,2,21,2016/08/04,6589113,1575305,642230,677056,6589113,1575305,642230,677056,579231,579231,181.12,-,181.12,-,179.11,-,179.11,-,1958499,960066,354974,667657,667657,1790851
月次(M),2016/09,トヨタ自動車,T7203,2016/09,6,2,22,2016/11/08,13070533,3013695,1116865,1176534,6481420,1438390,474635,499478,990005,410774,311.08,-,129.77,-,307.84,-,128.54,-,2058076,1791094,355264,1363017,695360,1805932
月次(M),2016/12,トヨタ自動車,T7203,2016/12,9,2,23,2017/02/06,20154720,4461252,1555451,1764072,7084187,1447557,438586,587538,1496830,506825,472.31,-,161.26,-,467.35,-,159.54,-,2212269,2610166,357072,2040951,677934,1874846
月次(M),2017/03,トヨタ自動車,T7203,2017/03,12,2,10,2017/05/10,27597193,6054158,1994372,2193825,7442400,-,438900,429700,1926985,-,605.47,-,132.94,-,599.22,-,-,-,2388617,3541437,364445,2868485,-,2166048
月次(M),2017/06,トヨタ自動車,T7203,2017/06,3,2,21,2017/08/04,7047606,1604875,574294,679348,7047606,1604875,574294,679348,631752,631752,205.05,-,205.05,-,202.84,-,202.84,-,2456712,872490,371888,720249,720249,1959874
月次(M),2017/09,トヨタ自動車,T7203,2017/09,6,2,22,2017/11/07,14191207,3201384,1096541,1252173,7143601,1596509,522247,572825,1112969,481217,359.55,-,154.28,-,355.92,-,152.87,-,2491575,1803601,371286,1478584,758335,2078991
月次(M),2017/12,トヨタ自動車,T7203,2017/12,9,2,23,2018/02/06,21796974,4937160,1770186,2003113,7605767,1735776,673645,750940,2083655,970686,677.95,-,319.01,-,670.31,-,314.99,-,2542307,2766355,368883,2212556,733972,2093532
月次(M),2018/03,トヨタ自動車,T7203,2018/03,12,2,10,2018/05/09,29379510,6779036,2399862,2620429,7582500,-,629600,617300,2586106,-,842,-,163.54,-,832.78,-,-,-,2539789,3598707,369124,3090495,-,2245487
月次(M),2018/06,トヨタ自動車,T7203,2018/06,3,2,21,2018/08/03,7362733,1722737,682687,813864,7362733,1722737,682687,813864,684236,684236,224.67,-,224.67,-,222.33,-,222.33,-,2536944,1039203,373272,691895,691895,2106252
月次(M),2018/09,トヨタ自動車,T7203,2018/09,6,2,22,2018/11/06,14674006,3383380,1261845,1548809,7311273,1660643,579158,734945,1297805,613569,427.02,-,202.2,-,422.68,-,200.21,-,2583535,2253555,371796,1428004,736109,2161538
月次(M),2018/12,トヨタ自動車,T7203,2018/12,9,2,23,2019/02/06,22475548,5189563,1937974,1725779,7801542,1806183,676129,176970,1500905,203100,489.82,-,61.85,-,485.72,-,62.12,-,2555133,2946779,371495,2205256,777252,2135896
月次(M),2019/03,トヨタ自動車,T7203,2019/03,12,2,10,2019/05/08,30225681,6836186,2467545,2285465,7750100,-,529500,559600,1985587,-,650.55,-,160.74,-,645.11,-,-,-,2656396,3985698,370870,2976351,-,2389104
月次(M),2019/06,トヨタ自動車,T7203,2019/06,3,3,21,2020/08/06,7721273,1452128,740611,850985,7721273,1452128,740611,850985,631382,631382,218.62,-,218.62,-,216.19,-,216.19,-,-,1031422,379201,711517,711517,-
月次(M),2019/09,トヨタ自動車,T7203,2019/09,6,3,22,2020/11/06,15358277,3456918,1399218,1621819,7637004,1663384,658607,770834,1183993,552610,407.9,-,189.08,-,403.51,-,187.12,-,-,1982933,376762,1404502,692985,-
月次(M),2019/12,トヨタ自動車,T7203,2019/12,9,2,23,2020/02/06,22830164,5201845,2058783,2515779,7544569,1756615,654447,932294,2078652,763863,712.46,-,263.41,-,705.25,-,260.56,-,2433401,3122687,372636,2128231,741463,2108870
月次(M),2020/03,トヨタ自動車,T7203,2020/03,12,2,10,2020/05/12,29929992,6787248,2442869,2554607,7099800,-,384000,38800,2142329,-,735.61,-,21.22,-,729.5,-,-,-,2434918,3304257,359542,2964759,-,2118838
