,,,,,,決算期,決算月数,決算種別フラグ,連結基準フラグ,実績・予想フラグ,資料公表日／決算発表日,決算期初日,決算期末日,最新予想フラグ,売上高＜累計＞,営業利益＜累計＞,経常利益＜累計＞,潜在株式調整後１株当たり利益＜累計＞,１株当たり利益＜累計＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜累計＞,当期利益＜累計＞,売上高＜３ヵ月＞,営業利益＜３ヵ月＞,経常利益＜３ヵ月＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜３ヵ月＞,１株当たり利益＜３ヵ月＞,当期利益＜３ヵ月＞
トヨタ自動車,T7203,月次(M),2012/06,#2001,#2001,2012/06,3,21,2,2,2012/08/03,2012/04/01,2012/06/30,-,5501573,353143,415203,91.68,91.68,290347,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2012/06,#2002,#2002,2012/06,3,21,2,2,2013/08/02,2012/04/01,2012/06/30,-,5501573,353143,415203,91.68,91.68,290347,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2012/09,#0001,#0001,2012/09,6,22,0,0,2012/09/14,2012/04/01,2012/09/30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2012/09,#2001,#2001,2012/09,6,22,2,2,2012/11/05,2012/04/01,2012/09/30,-,10908354,693750,794537,173.13,173.13,548269,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2012/09,#2002,#2002,2012/09,6,22,2,2,2013/11/06,2012/04/01,2012/09/30,-,10908354,693750,794537,173.13,173.13,548269,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2012/12,#2001,#2001,2012/12,9,23,2,2,2013/02/05,2012/04/01,2012/12/31,-,16227106,818507,925786,204.67,204.68,648183,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2012/12,#2002,#2002,2012/12,9,23,2,2,2014/02/04,2012/04/01,2012/12/31,-,16227106,818507,925786,204.67,204.68,648183,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/03,#0001,#0001,2013/03,12,10,2,0,2012/05/09,2012/04/01,2013/03/31,0,22000000,1000000,1160000,-,239.99,760000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/03,#0002,#0002,2013/03,12,10,2,0,2012/08/03,2012/04/01,2013/03/31,0,22000000,1000000,1160000,-,239.99,760000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/03,#0003,#0003,2013/03,12,10,2,0,2012/11/05,2012/04/01,2013/03/31,0,21300000,1050000,1180000,-,246.3,780000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/03,#0004,#0004,2013/03,12,10,2,0,2013/02/05,2012/04/01,2013/03/31,1,21800000,1150000,1290000,-,271.56,860000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/03,#2001,#2001,2013/03,12,10,2,2,2013/05/08,2012/04/01,2013/03/31,-,22064192,1320888,1403649,303.78,303.82,962163,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/03,#2002,#2002,2013/03,12,10,2,2,2014/05/08,2012/04/01,2013/03/31,-,22064192,1320888,1403649,303.78,303.82,962163,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/06,#2001,#2001,2013/06,3,21,2,2,2013/08/02,2013/04/01,2013/06/30,-,6255319,663383,724163,177.32,177.45,562194,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/06,#2002,#2002,2013/06,3,21,2,2,2014/08/05,2013/04/01,2013/06/30,-,6255319,663383,724163,177.32,177.45,562194,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/09,#0001,#0001,2013/09,6,22,0,0,2013/09/13,2013/04/01,2013/09/30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/09,#2001,#2001,2013/09,6,22,2,2,2013/11/06,2013/04/01,2013/09/30,-,12537485,1255475,1343525,315.58,315.8,1000623,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/09,#2002,#2002,2013/09,6,22,2,2,2014/11/05,2013/04/01,2013/09/30,-,12537485,1255475,1343525,315.58,315.8,1000623,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/12,#2001,#2001,2013/12,9,23,2,2,2014/02/04,2013/04/01,2013/12/31,-,19122529,1855984,2022481,481.27,481.6,1526087,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2013/12,#2002,#2002,2013/12,9,23,2,2,2015/02/04,2013/04/01,2013/12/31,-,19122529,1855984,2022481,481.27,481.6,1526087,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/03,#0001,#0001,2014/03,12,10,2,0,2013/05/08,2013/04/01,2014/03/31,0,23500000,1800000,1890000,-,432.53,1370000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/03,#0002,#0002,2014/03,12,10,2,0,2013/08/02,2013/04/01,2014/03/31,0,24000000,1940000,2030000,-,467.09,1480000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/03,#0003,#0003,2014/03,12,10,2,0,2013/11/06,2013/04/01,2014/03/31,0,25000000,2200000,2290000,-,526.98,1670000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/03,#0004,#0004,2014/03,12,10,2,0,2014/02/04,2013/04/01,2014/03/31,1,25500000,2400000,2530000,-,599.5,1900000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/03,#2001,#2001,2014/03,12,10,2,2,2014/05/08,2013/04/01,2014/03/31,-,25691911,2292112,2441080,574.92,575.3,1823119,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/03,#2002,#2002,2014/03,12,10,2,2,2015/05/08,2013/04/01,2014/03/31,-,25691911,2292112,2441080,574.92,575.3,1823119,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/06,#2001,#2001,2014/06,3,21,2,2,2014/08/05,2014/04/01,2014/06/30,-,6390688,692728,771826,185.34,185.43,587774,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/06,#2002,#2002,2014/06,3,21,2,2,2015/08/04,2014/04/01,2014/06/30,-,6390688,692728,771826,185.34,185.43,587774,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/09,#0001,#0001,2014/09,6,22,0,0,2014/09/16,2014/04/01,2014/09/30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/09,#2001,#2001,2014/09,6,22,2,2,2014/11/05,2014/04/01,2014/09/30,-,12945597,1351946,1509174,355.91,356.08,1126836,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/09,#2002,#2002,2014/09,6,22,2,2,2015/11/05,2014/04/01,2014/09/30,-,12945597,1351946,1509174,355.91,356.08,1126836,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/12,#2001,#2001,2014/12,9,23,2,2,2015/02/04,2014/04/01,2014/12/31,-,20115614,2114826,2355635,545.68,545.94,1726863,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2014/12,#2002,#2002,2014/12,9,23,2,2,2016/02/05,2014/04/01,2014/12/31,-,20115614,2114826,2355635,545.68,545.94,1726863,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/03,#0001,#0001,2015/03,12,10,2,0,2014/05/08,2014/04/01,2015/03/31,0,25700000,2300000,2390000,-,561.56,1780000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/03,#0002,#0002,2015/03,12,10,2,0,2014/08/05,2014/04/01,2015/03/31,0,25700000,2300000,2390000,-,561.54,1780000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/03,#0003,#0003,2015/03,12,10,2,0,2014/11/05,2014/04/01,2015/03/31,0,26500000,2500000,2700000,-,630.37,2000000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/03,#0004,#0004,2015/03,12,10,2,0,2015/02/04,2014/04/01,2015/03/31,1,27000000,2700000,2920000,-,677.14,2130000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/03,#2001,#2001,2015/03,12,10,2,2,2015/05/08,2014/04/01,2015/03/31,-,27234521,2750564,2892828,687.66,688.02,2173338,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/03,#2002,#2002,2015/03,12,10,2,2,2016/05/11,2014/04/01,2015/03/31,-,27234521,2750564,2892828,687.66,688.02,2173338,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/06,#2001,#2001,2015/06,3,21,2,2,2015/08/04,2015/04/01,2015/06/30,-,6987648,756001,845259,205.3,205.41,646394,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/06,#2002,#2002,2015/06,3,21,2,2,2016/08/04,2015/04/01,2015/06/30,-,6987648,756001,845259,205.3,205.41,646394,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/09,#0001,#0001,2015/09,6,22,0,0,2015/09/16,2015/04/01,2015/09/30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/09,#2001,#2001,2015/09,6,22,2,2,2015/11/05,2015/04/01,2015/09/30,-,14091488,1583405,1675151,397.75,399.39,1258112,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/09,#2002,#2002,2015/09,6,22,2,2,2016/11/08,2015/04/01,2015/09/30,-,14091488,1583405,1675151,397.75,399.39,1258112,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/12,#2001,#2001,2015/12,9,23,2,2,2016/02/05,2015/04/01,2015/12/31,-,21431370,2305671,2452912,597.29,601.44,1886077,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2015/12,#2002,#2002,2015/12,9,23,2,2,2017/02/06,2015/04/01,2015/12/31,-,21431370,2305671,2452912,597.29,601.44,1886077,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/03,#0001,#0001,2016/03,12,10,2,0,2015/05/08,2015/04/01,2016/03/31,0,27500000,2800000,2970000,-,715.01,2250000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/03,#0002,#0002,2016/03,12,10,2,0,2015/08/04,2015/04/01,2016/03/31,0,27800000,2800000,2980000,-,714.93,2250000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/03,#0003,#0003,2016/03,12,10,2,0,2015/11/05,2015/04/01,2016/03/31,0,27500000,2800000,2980000,-,713.76,2250000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/03,#0004,#0004,2016/03,12,10,2,0,2016/02/05,2015/04/01,2016/03/31,1,27500000,2800000,2980000,-,723.6,2270000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/03,#2001,#2001,2016/03,12,10,2,2,2016/05/11,2015/04/01,2016/03/31,-,28403118,2853971,2983381,735.36,741.36,2312694,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/03,#2002,#2002,2016/03,12,10,2,2,2017/05/10,2015/04/01,2016/03/31,-,28403118,2853971,2983381,735.36,741.36,2312694,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/06,#2001,#2001,2016/06,3,21,2,2,2016/08/04,2016/04/01,2016/06/30,-,6589113,642230,677056,179.11,181.12,552465,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/06,#2002,#2002,2016/06,3,21,2,2,2017/08/04,2016/04/01,2016/06/30,-,6589113,642230,677056,179.11,181.12,552465,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/09,#0001,#0001,2016/09,6,22,0,0,2016/09/16,2016/04/01,2016/09/30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/09,#2001,#2001,2016/09,6,22,2,2,2016/11/08,2016/04/01,2016/09/30,-,13070533,1116865,1176534,307.84,311.08,946173,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/09,#2002,#2002,2016/09,6,22,2,2,2017/11/07,2016/04/01,2016/09/30,-,13070533,1116865,1176534,307.84,311.08,946173,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/12,#2001,#2001,2016/12,9,23,2,2,2017/02/06,2016/04/01,2016/12/31,-,20154720,1555451,1764072,467.35,472.31,1432704,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2016/12,#2002,#2002,2016/12,9,23,2,2,2018/02/06,2016/04/01,2016/12/31,-,20154720,1555451,1764072,467.35,472.31,1432704,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/03,#0001,#0001,2017/03,12,10,2,0,2016/05/11,2016/04/01,2017/03/31,0,26500000,1700000,1900000,-,490.51,1500000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/03,#0002,#0002,2017/03,12,10,2,0,2016/08/04,2016/04/01,2017/03/31,0,26000000,1600000,1780000,-,474.18,1450000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/03,#0003,#0003,2017/03,12,10,2,0,2016/11/08,2016/04/01,2017/03/31,0,26000000,1700000,1900000,-,512.77,1550000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/03,#0004,#0004,2017/03,12,10,2,0,2017/02/06,2016/04/01,2017/03/31,1,26500000,1850000,2070000,-,561.38,1700000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/03,#2001,#2001,2017/03,12,10,2,2,2017/05/10,2016/04/01,2017/03/31,-,27597193,1994372,2193825,599.22,605.47,1831109,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/03,#2002,#2002,2017/03,12,10,2,2,2018/05/09,2016/04/01,2017/03/31,-,27597193,1994372,2193825,599.22,605.47,1831109,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/06,#2001,#2001,2017/06,3,21,2,2,2017/08/04,2017/04/01,2017/06/30,-,7047606,574294,679348,202.84,205.05,613056,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/06,#2002,#2002,2017/06,3,21,2,2,2018/08/03,2017/04/01,2017/06/30,-,7047606,574294,679348,202.84,205.05,613056,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/09,#0001,#0001,2017/09,6,22,0,0,2017/09/15,2017/04/01,2017/09/30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/09,#2001,#2001,2017/09,6,22,2,2,2017/11/07,2017/04/01,2017/09/30,-,14191207,1096541,1252173,355.92,359.55,1071328,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/09,#2002,#2002,2017/09,6,22,2,2,2018/11/06,2017/04/01,2017/09/30,-,14191207,1096541,1252173,355.92,359.55,1071328,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/12,#2001,#2001,2017/12,9,23,2,2,2018/02/06,2017/04/01,2017/12/31,-,21796974,1770186,2003113,670.31,677.95,2013177,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2017/12,#2002,#2002,2017/12,9,23,2,2,2019/02/06,2017/04/01,2017/12/31,-,21796974,1770186,2003113,670.31,677.95,2013177,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/03,#0001,#0001,2018/03,12,10,2,0,2017/05/10,2017/04/01,2018/03/31,0,27500000,1600000,1800000,-,500.05,1500000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/03,#0002,#0002,2018/03,12,10,2,0,2017/08/04,2017/04/01,2018/03/31,0,28500000,1850000,2050000,-,584.06,1750000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/03,#0003,#0003,2018/03,12,10,2,0,2017/11/07,2017/04/01,2018/03/31,1,28500000,2000000,2250000,-,657.08,1950000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/03,#0004,#0004,2018/03,12,10,2,0,2018/02/06,2017/04/01,2018/03/31,1,29000000,2200000,2450000,-,808.91,2400000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/03,#2001,#2001,2018/03,12,10,2,2,2018/05/09,2017/04/01,2018/03/31,-,29379510,2399862,2620429,832.78,842,2493983,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/03,#2002,#2002,2018/03,12,10,2,2,2019/05/08,2017/04/01,2018/03/31,-,29379510,2399862,2620429,832.78,842,2493983,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/06,#2001,#2001,2018/06,3,21,2,2,2018/08/03,2018/04/01,2018/06/30,-,7362733,682687,813864,222.33,224.67,657306,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/06,#2002,#2002,2018/06,3,21,2,2,2019/08/02,2018/04/01,2018/06/30,-,7362733,682687,813864,222.33,224.67,657306,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/09,#0001,#0001,2018/09,6,22,0,0,2018/09/14,2018/04/01,2018/09/30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/09,#2001,#2001,2018/09,6,22,2,2,2018/11/06,2018/04/01,2018/09/30,-,14674006,1261845,1548809,422.68,427.02,1242392,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/09,#2002,#2002,2018/09,6,22,2,2,2019/11/07,2018/04/01,2018/09/30,-,14674006,1261845,1548809,422.68,427.02,1242392,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/12,#2001,#2001,2018/12,9,23,2,2,2019/02/06,2018/04/01,2018/12/31,-,22475548,1937974,1725779,485.72,489.82,1423307,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2018/12,#2002,#2002,2018/12,9,23,2,2,2020/02/06,2018/04/01,2018/12/31,-,22475548,1937974,1725779,485.72,489.82,1423307,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/03,#0001,#0001,2019/03,12,10,2,0,2018/05/09,2018/04/01,2019/03/31,1,29000000,2300000,2450000,-,723.39,2120000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/03,#0002,#0002,2019/03,12,10,2,0,2018/08/03,2018/04/01,2019/03/31,1,29000000,2300000,2450000,-,726.68,2120000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/03,#0003,#0003,2019/03,12,10,2,0,2018/11/06,2018/04/01,2019/03/31,1,29500000,2400000,2720000,-,793.21,2300000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/03,#0004,#0004,2019/03,12,10,2,0,2019/02/06,2018/04/01,2019/03/31,1,29500000,2400000,2200000,-,645.42,1870000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/03,#2001,#2001,2019/03,12,10,2,2,2019/05/08,2018/04/01,2019/03/31,-,30225681,2467545,2285465,645.11,650.55,1882873,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/03,#2002,#2002,2019/03,12,10,2,2,2020/05/12,2018/04/01,2019/03/31,-,30225681,2467545,2285465,645.11,650.55,1882873,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/06,#2001,#2001,2019/06,3,21,3,2,2020/08/06,2019/04/01,2019/06/30,-,7721273,740611,850985,216.19,218.62,619131,631382,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/09,#0001,#0001,2019/09,6,22,0,0,2019/09/13,2019/04/01,2019/09/30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/09,#2001,#2001,2019/09,6,22,3,2,2020/11/06,2019/04/01,2019/09/30,-,15358277,1399218,1621819,403.51,407.9,1149540,1183993,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2019/12,#2001,#2001,2019/12,9,23,2,2,2020/02/06,2019/04/01,2019/12/31,-,22830164,2058783,2515779,705.25,712.46,2013010,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2020/03,#0001,#0001,2020/03,12,10,2,0,2019/05/08,2019/04/01,2020/03/31,1,30000000,2550000,2720000,-,788.37,2250000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2020/03,#0002,#0002,2020/03,12,10,2,0,2019/08/02,2019/04/01,2020/03/31,1,29500000,2400000,2560000,-,754.71,2150000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2020/03,#0003,#0003,2020/03,12,10,2,0,2019/11/07,2019/04/01,2020/03/31,1,29500000,2400000,2630000,-,760.8,2150000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2020/03,#0004,#0004,2020/03,12,10,2,0,2020/02/06,2019/04/01,2020/03/31,1,29500000,2500000,2910000,-,832.84,2350000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2020/03,#2001,#2001,2020/03,12,10,2,2,2020/05/12,2019/04/01,2020/03/31,-,29929992,2442869,2554607,729.5,735.61,2076183,-,-,-,-,-,-,-
