,EPS,EPS_-1,EPS_-2,EPS_-3,EPS_-4,INV_-1,INV_-2,INV_-3,INV_-4,AR_-1,AR_-2,AR_-3,AR_-4,CAPX_-1,CAPX_-2,CAPX_-3,CAPX_-4,GM_-1,GM_-2,GM_-3,GM_-4,SA_-1,SA_-2,SA_-3,SA_-4,ETR_-1,ETR_-2,ETR_-3,ETR_-4,LF_-1,LF_-2,LF_-3,LF_-4
EPS,1.0,0.5216999192658844,0.48893314541656296,0.4788599797061371,0.5947319364365973,0.26936193950761,0.25509854941024646,0.2770133659243394,0.272545715456689,0.4059519616606715,0.40040936494357393,0.3993738328591433,0.3876215850900535,0.3968223549936518,0.4310587846712111,0.4529819970164759,0.3564309364936313,0.5731654140821345,0.5516843416824435,0.5494275662582271,0.5736169189415099,0.4846517316403852,0.46169261206582995,0.46305848460885285,0.4471653047005412,0.0014590065718898804,0.002044997174585331,0.002308664657720644,0.0005295327635536636,0.024422923632243052,0.02443878057258927,0.023564297851457274,0.032142245631290804
EPS_-1,0.5216999192658844,1.0,0.5217352251692052,0.48898521318318355,0.4789004786154673,0.28962161198179465,0.2693825587430949,0.25512392550355883,0.27706318049891165,0.4349066506294918,0.40602370319701564,0.40047254603729576,0.39945415072781465,0.37961636193377063,0.396926498713442,0.43117759545907425,0.45313207408997663,0.7103745157108878,0.5732687947255389,0.5517972831688331,0.5495657092774193,0.49607043400627215,0.48475270317057106,0.46179954128269823,0.46318170187724844,0.0008622847785978159,0.001443011909792086,0.0020333178265017323,0.002305303293667332,0.03753599696749937,0.024325457577126283,0.024183266311046087,0.02311176602376999
EPS_-2,0.48893314541656296,0.5217352251692052,1.0,0.5217126227921225,0.4889817422733812,0.3035863149810978,0.2896148102725612,0.2693683583307746,0.2551103220420893,0.39507527423208566,0.4349477798932708,0.4060441716342083,0.40050286832678744,0.47702426433035877,0.3796374468018373,0.3969564151705549,0.4312266059061429,0.579932990556981,0.7104121097227498,0.5732999733758889,0.5518407840584374,0.484660018524067,0.49609644742255793,0.48478815173260587,0.46183803195477857,0.0026731551600840675,0.0008346318499897138,0.0014078712687939183,0.002039163013420982,0.0231830806393018,0.03744292476244483,0.02404253956924711,0.023825680808764443
EPS_-3,0.4788599797061371,0.48898521318318355,0.5217126227921225,1.0,0.5216338366856733,0.29328641603560135,0.3036050835925827,0.28962892113449673,0.26938446550801937,0.37120883965699514,0.39511801251523015,0.4349769809284735,0.40606818126159117,0.4356258774040455,0.4770686461038379,0.37964157399419074,0.39696705305419366,0.5424775692298827,0.5799254584299222,0.7104282252278312,0.5732888196104912,0.4497164371967058,0.48465611099240674,0.4960946023523795,0.4847862307417543,0.001668723473364325,0.0026412418850621476,0.0007982225864735367,0.0014199198354994402,0.025766041217649232,0.022907240564820523,0.037041629229135106,0.023292565980891564
EPS_-4,0.5947319364365973,0.4789004786154673,0.4889817422733812,0.5216338366856733,1.0,0.2761090582838662,0.29330306693567465,0.30362042344888895,0.28964326741898383,0.3367642742387143,0.37126266626010623,0.39514271391447237,0.4350129842556222,0.3497290393661081,0.4356722366517477,0.477085716629258,0.37963023556993175,0.4956427765473493,0.5424504612573592,0.5798930426834316,0.7104158101187392,0.41474531644809376,0.4496874578102923,0.48463206867263753,0.49606779995318767,0.000990009843219001,0.0016316729024874901,0.0026146367203159116,0.0007840554154804755,0.022986261912804687,0.025484551687724056,0.022293322277685712,0.03616336295617474
INV_-1,0.26936193950761,0.28962161198179465,0.3035863149810978,0.29328641603560135,0.2761090582838662,1.0,0.9347764089674705,0.8912190514676529,0.8488697489562177,0.5237318705441754,0.502954552205539,0.49024710777874375,0.4701196677032562,0.15990671848324936,0.15623012718858978,0.15378138144212108,0.15312493101701893,0.5208062507774162,0.5048076995008963,0.4896725162581131,0.47188041837154215,0.5281238475556302,0.5041818425694339,0.48928685416711887,0.469744724623731,0.0012813575927682948,0.0012078251956547886,0.0010946242658012872,0.0011132223612276108,0.06669976872158921,0.06638506602746684,0.0656850171560028,0.06568201749853353
INV_-2,0.25509854941024646,0.2693825587430949,0.2896148102725612,0.3036050835925827,0.29330306693567465,0.9347764089674705,1.0,0.9347648227736312,0.8911971892661374,0.5027166132609817,0.5237375656799553,0.5029443649129192,0.4902320094239351,0.15845531247190603,0.15988031559865498,0.15620577919556825,0.1537606363323961,0.501666940429349,0.5208064321167519,0.5048162516731912,0.48968925475466785,0.5095560196469123,0.5281280474310998,0.5041860761594623,0.4892936032455452,0.0011946090797637185,0.0012803618508729312,0.0011925663161301086,0.0010913710779894565,0.0678893571086694,0.06695604232952819,0.06655572162038645,0.06584915966476643
INV_-3,0.2770133659243394,0.25512392550355883,0.2693683583307746,0.28962892113449673,0.30362042344888895,0.8912190514676529,0.9347648227736312,1.0,0.9347513665820345,0.4812204178264258,0.5027159886672211,0.5237369075528358,0.5029358819735401,0.14413244712518544,0.15842825200038785,0.15985382528663494,0.15618176508500134,0.4819944633863661,0.5016616210064111,0.5208153560406139,0.5048311162239973,0.48944407477964735,0.5095555589517352,0.5281342688001636,0.5041914260897539,0.0010881377591969836,0.0011931186216822289,0.0012649572086528228,0.0011918269272578165,0.06770895236588531,0.06817354955688472,0.06715833998664307,0.06675290857221909
INV_-4,0.272545715456689,0.27706318049891165,0.2551103220420893,0.26938446550801937,0.28964326741898383,0.8488697489562177,0.8911971892661374,0.9347513665820345,1.0,0.4648497707331379,0.48120702390888287,0.5027037111532149,0.5237310407083926,0.13428416092299142,0.14410628647236184,0.15840541222364352,0.15983242929858713,0.4702519676798486,0.4819902670294364,0.5016727275356634,0.5208376028951158,0.47206527119146235,0.489444541140185,0.5095634978344227,0.5281480160450842,-1.8815600254340657e-05,0.0010879596761062473,0.0011785594236093982,0.0012711190467692807,0.06719486141818933,0.0679797101328721,0.068372482130313,0.06735118264588538
AR_-1,0.4059519616606715,0.4349066506294918,0.39507527423208566,0.37120883965699514,0.3367642742387143,0.5237318705441754,0.5027166132609817,0.4812204178264258,0.4648497707331379,1.0,0.9431229928091666,0.9005594315077491,0.8546029456383567,0.30165527688571614,0.2879035928256483,0.2758787693436348,0.2703423164701832,0.705727026615173,0.6646193152164617,0.6320638974942244,0.5976294438599485,0.7176672817526641,0.6832717610711636,0.6528901830017007,0.6221159088518292,0.0019301797111764122,0.00196319974134558,0.0017551383903780266,0.0018424228246999637,0.07307637699434981,0.06961707019655165,0.0689145306762523,0.06800394957537607
AR_-2,0.40040936494357393,0.40602370319701564,0.4349477798932708,0.39511801251523015,0.37126266626010623,0.502954552205539,0.5237375656799553,0.5027159886672211,0.48120702390888287,0.9431229928091666,1.0,0.943102756294137,0.9005212452665806,0.2819087775550722,0.30169892717519753,0.2879454914930796,0.275922409051009,0.6682327874555973,0.705847626223475,0.6647401263312828,0.6321931540157976,0.6846007336950083,0.7178057458232555,0.6834059483837053,0.6530209920744766,0.002108049460145368,0.0019044065711030717,0.001953289071381382,0.0017825634610653053,0.068759322449926,0.07273539113655515,0.06908263303587041,0.06828034428958521
AR_-3,0.3993738328591433,0.40047254603729576,0.4060441716342083,0.4349769809284735,0.39514271391447237,0.49024710777874375,0.5029443649129192,0.5237369075528358,0.5027037111532149,0.9005594315077491,0.943102756294137,1.0,0.9430775270972843,0.2577352210737918,0.2819279179722737,0.30171576515570053,0.28796008639547516,0.645195795097864,0.6683001251806197,0.7059325882240639,0.6648249414992671,0.657097134911388,0.6846843570536817,0.7179019886979373,0.6834938992341141,0.0017992684820838714,0.002079873998119032,0.0018906601634432953,0.001976153279578353,0.06767139782478866,0.0685316527460963,0.07234885258250463,0.06853933170927186
AR_-4,0.3876215850900535,0.39945415072781465,0.40050286832678744,0.40606818126159117,0.4350129842556222,0.4701196677032562,0.4902320094239351,0.5029358819735401,0.5237310407083926,0.8546029456383567,0.9005212452665806,0.9430775270972843,1.0,0.23799047093733208,0.25775065195662583,0.2819398930946265,0.30173124593806794,0.61805877593777,0.6452569285204085,0.6683726114808701,0.7060262046460674,0.6254946290512547,0.6571712334858272,0.6847689368134906,0.7179967329023014,0.0016579571043083858,0.0017726539387158077,0.0020666169086771837,0.001907589397549221,0.06696803705787135,0.06744734546908553,0.06810911534722518,0.07181892623601638
CAPX_-1,0.3968223549936518,0.37961636193377063,0.47702426433035877,0.4356258774040455,0.3497290393661081,0.15990671848324936,0.15845531247190603,0.14413244712518544,0.13428416092299142,0.30165527688571614,0.2819087775550722,0.2577352210737918,0.23799047093733208,1.0,0.7827256183274441,0.650390554784885,0.6206138208848144,0.5498477788310553,0.564586675397759,0.5178278677091045,0.47103918370860676,0.4616355947541776,0.4434691791697854,0.4137825074204139,0.386486510576444,0.00044116117797881677,0.0005766919769030241,0.0005906207431424655,0.0007415845445160323,0.00541674583339769,0.004826185850835281,0.004200359756136845,0.0037308133258001606
CAPX_-2,0.4310587846712111,0.396926498713442,0.3796374468018373,0.4770686461038379,0.4356722366517477,0.15623012718858978,0.15988031559865498,0.15842825200038785,0.14410628647236184,0.2879035928256483,0.30169892717519753,0.2819279179722737,0.25775065195662583,0.7827256183274441,1.0,0.7827188426118972,0.6503809068212939,0.5412793454106347,0.5498484712596983,0.5645931442725505,0.5178369281298505,0.45017112780530993,0.4616251288246188,0.4434568851203096,0.4137684722697606,0.0006882679153400786,0.0004290358026887268,0.0005670656423381573,0.000583345740929523,0.0034566950962380215,0.005465964021129249,0.004789474624672484,0.004065245700844147
CAPX_-3,0.4529819970164759,0.43117759545907425,0.3969564151705549,0.37964157399419074,0.477085716629258,0.15378138144212108,0.15620577919556825,0.15985382528663494,0.15840541222364352,0.2758787693436348,0.2879454914930796,0.30171576515570053,0.2819398930946265,0.650390554784885,0.7827188426118972,1.0,0.782704475538746,0.5349436803193188,0.5412587263710901,0.5498256347223169,0.5645739237440478,0.4344384218832179,0.4501373450116404,0.4615905421686614,0.44341841076872923,0.0007109335660770248,0.0006689713558332879,0.00041746171687196467,0.0005629965715885876,0.002986045830825693,0.0034942045380695467,0.00540060166479013,0.004555139401960377
CAPX_-4,0.3564309364936313,0.45313207408997663,0.4312266059061429,0.39696705305419366,0.37963023556993175,0.15312493101701893,0.1537606363323961,0.15618176508500134,0.15983242929858713,0.2703423164701832,0.275922409051009,0.28796008639547516,0.30173124593806794,0.6206138208848144,0.6503809068212939,0.782704475538746,1.0,0.5306807179850366,0.5349213877479255,0.5412310898632037,0.5497974339678081,0.419546596505489,0.434400125302167,0.4500976354503419,0.46154948728277606,0.0005218747475316235,0.0006904146037709101,0.0006574366645902824,0.0004113605544035236,0.003184560577363836,0.003015671333816514,0.0033864670920072224,0.005130995461835424
GM_-1,0.5731654140821345,0.7103745157108878,0.579932990556981,0.5424775692298827,0.4956427765473493,0.5208062507774162,0.501666940429349,0.4819944633863661,0.4702519676798486,0.705727026615173,0.6682327874555973,0.645195795097864,0.61805877593777,0.5498477788310553,0.5412793454106347,0.5349436803193188,0.5306807179850366,1.0,0.9208983893008095,0.8839174829291657,0.8447431341692127,0.9500841489687332,0.9096917024509856,0.8755431028540454,0.844589665547861,0.0024754195013641156,0.0026123266873166098,0.002508434481552532,0.0026892629074277987,0.04448142188905836,0.039048386380011124,0.0394755848350505,0.03767940047275914
GM_-2,0.5516843416824435,0.5732687947255389,0.7104121097227498,0.5799254584299222,0.5424504612573592,0.5048076995008963,0.5208064321167519,0.5016616210064111,0.4819902670294364,0.6646193152164617,0.705847626223475,0.6683001251806197,0.6452569285204085,0.564586675397759,0.5498484712596983,0.5412587263710901,0.5349213877479255,0.9208983893008095,1.0,0.9208869227273442,0.8839043112931211,0.9080001312617948,0.9500803580169441,0.9096813209721217,0.875527557649646,0.0026861461977937097,0.0024376763912141238,0.002585114590032893,0.002516724471586908,0.03893964169329562,0.04463721940665166,0.03895873114225287,0.039192369872879176
GM_-3,0.5494275662582271,0.5517972831688331,0.5732999733758889,0.7104282252278312,0.5798930426834316,0.4896725162581131,0.5048162516731912,0.5208153560406139,0.5016727275356634,0.6320638974942244,0.6647401263312828,0.7059325882240639,0.6683726114808701,0.5178278677091045,0.5645931442725505,0.5498256347223169,0.5412310898632037,0.8839174829291657,0.9208869227273442,1.0,0.9208729370754457,0.8677223615001376,0.9079874404352264,0.9500751898612672,0.9096675164508805,0.002313381520544555,0.002646111266148515,0.0024081546345855595,0.0025924970400171663,0.03950845876346983,0.039062349043982286,0.04456173137450996,0.0385900618605039
GM_-4,0.5736169189415099,0.5495657092774193,0.5518407840584374,0.5732888196104912,0.7104158101187392,0.47188041837154215,0.48968925475466785,0.5048311162239973,0.5208376028951158,0.5976294438599485,0.6321931540157976,0.6648249414992671,0.7060262046460674,0.47103918370860676,0.5178369281298505,0.5645739237440478,0.5497974339678081,0.8447431341692127,0.8839043112931211,0.9208729370754457,1.0,0.8279518942286952,0.8677054457880345,0.9079764453979973,0.9500710872951125,-0.0010173677811340888,0.0022715741224256427,0.002616450293692751,0.0024116328771892517,0.03893073288543654,0.0396503621101081,0.03892124348633398,0.04416522809298982
SA_-1,0.4846517316403852,0.49607043400627215,0.484660018524067,0.4497164371967058,0.41474531644809376,0.5281238475556302,0.5095560196469123,0.48944407477964735,0.47206527119146235,0.7176672817526641,0.6846007336950083,0.657097134911388,0.6254946290512547,0.4616355947541776,0.45017112780530993,0.4344384218832179,0.419546596505489,0.9500841489687332,0.9080001312617948,0.8677223615001376,0.8279518942286952,1.0,0.9536867838256415,0.9162798813180634,0.8796060482913735,0.0027682859312836983,0.002640668618655096,0.002412206207670145,0.0025875513490473986,0.04166454336732541,0.04109942689588987,0.04097801422785231,0.03979032845739648
SA_-2,0.46169261206582995,0.48475270317057106,0.49609644742255793,0.48465611099240674,0.4496874578102923,0.5041818425694339,0.5281280474310998,0.5095555589517352,0.489444541140185,0.6832717610711636,0.7178057458232555,0.6846843570536817,0.6571712334858272,0.4434691791697854,0.4616251288246188,0.4501373450116404,0.434400125302167,0.9096917024509856,0.9500803580169441,0.9079874404352264,0.8677054457880345,0.9536867838256415,1.0,0.9536780214744334,0.91626478287852,0.0025457579411365537,0.0027318190572285642,0.002612162977201843,0.002419897816406877,0.04080540826350204,0.04187096781696087,0.041094584579096406,0.040770695220006384
SA_-3,0.46305848460885285,0.46179954128269823,0.48478815173260587,0.4960946023523795,0.48463206867263753,0.48928685416711887,0.5041860761594623,0.5281342688001636,0.5095634978344227,0.6528901830017007,0.6834059483837053,0.7179019886979373,0.6847689368134906,0.4137825074204139,0.4434568851203096,0.4615905421686614,0.4500976354503419,0.8755431028540454,0.9096813209721217,0.9500751898612672,0.9079764453979973,0.9162798813180634,0.9536780214744334,1.0,0.9536691603642953,0.0022482987968137236,0.0025083022713420955,0.0027030059249442875,0.0026202788690413777,0.04085664523575987,0.04102047445221805,0.04187260872565184,0.040872572190944104
SA_-4,0.4471653047005412,0.46318170187724844,0.46183803195477857,0.4847862307417543,0.49606779995318767,0.469744724623731,0.4892936032455452,0.5041914260897539,0.5281480160450842,0.6221159088518292,0.6530209920744766,0.6834938992341141,0.7179967329023014,0.386486510576444,0.4137684722697606,0.44341841076872923,0.46154948728277606,0.844589665547861,0.875527557649646,0.9096675164508805,0.9500710872951125,0.8796060482913735,0.91626478287852,0.9536691603642953,1.0,-0.0017478675063616934,0.0022103708875441715,0.002478762054934766,0.002711101628593862,0.04067055286927265,0.0410931455993249,0.04102046984039588,0.04163801220027302
ETR_-1,0.0014590065718898804,0.0008622847785978159,0.0026731551600840675,0.001668723473364325,0.000990009843219001,0.0012813575927682948,0.0011946090797637185,0.0010881377591969836,-1.8815600254340657e-05,0.0019301797111764122,0.002108049460145368,0.0017992684820838714,0.0016579571043083858,0.00044116117797881677,0.0006882679153400786,0.0007109335660770248,0.0005218747475316235,0.0024754195013641156,0.0026861461977937097,0.002313381520544555,-0.0010173677811340888,0.0027682859312836983,0.0025457579411365537,0.0022482987968137236,-0.0017478675063616934,1.0,-0.00011583396878682985,-0.042191230122971095,0.0024787032356358004,0.005099011383221438,0.00374661072154986,0.004060069087009414,0.0039062327573203223
ETR_-2,0.002044997174585331,0.001443011909792086,0.0008346318499897138,0.0026412418850621476,0.0016316729024874901,0.0012078251956547886,0.0012803618508729312,0.0011931186216822289,0.0010879596761062473,0.00196319974134558,0.0019044065711030717,0.002079873998119032,0.0017726539387158077,0.0005766919769030241,0.0004290358026887268,0.0006689713558332879,0.0006904146037709101,0.0026123266873166098,0.0024376763912141238,0.002646111266148515,0.0022715741224256427,0.002640668618655096,0.0027318190572285642,0.0025083022713420955,0.0022103708875441715,-0.00011583396878682985,1.0,-0.00013430857835224771,-0.042323308755444294,0.005004558905309703,0.005021930023378691,0.0036039590152920475,0.003896885831596526
ETR_-3,0.002308664657720644,0.0020333178265017323,0.0014078712687939183,0.0007982225864735367,0.0026146367203159116,0.0010946242658012872,0.0011925663161301086,0.0012649572086528228,0.0011785594236093982,0.0017551383903780266,0.001953289071381382,0.0018906601634432953,0.0020666169086771837,0.0005906207431424655,0.0005670656423381573,0.00041746171687196467,0.0006574366645902824,0.002508434481552532,0.002585114590032893,0.0024081546345855595,0.002616450293692751,0.002412206207670145,0.002612162977201843,0.0027030059249442875,0.002478762054934766,-0.042191230122971095,-0.00013430857835224771,1.0,-0.00013978512989381987,0.005474169465456711,0.005131082135639714,0.005109238057769803,0.0036353677714025708
ETR_-4,0.0005295327635536636,0.002305303293667332,0.002039163013420982,0.0014199198354994402,0.0007840554154804755,0.0011132223612276108,0.0010913710779894565,0.0011918269272578165,0.0012711190467692807,0.0018424228246999637,0.0017825634610653053,0.001976153279578353,0.001907589397549221,0.0007415845445160323,0.000583345740929523,0.0005629965715885876,0.0004113605544035236,0.0026892629074277987,0.002516724471586908,0.0025924970400171663,0.0024116328771892517,0.0025875513490473986,0.002419897816406877,0.0026202788690413777,0.002711101628593862,0.0024787032356358004,-0.042323308755444294,-0.00013978512989381987,1.0,0.004643056836984765,0.006076082115676746,0.005767692473501638,0.0056968255821478915
LF_-1,0.024422923632243052,0.03753599696749937,0.0231830806393018,0.025766041217649232,0.022986261912804687,0.06669976872158921,0.0678893571086694,0.06770895236588531,0.06719486141818933,0.07307637699434981,0.068759322449926,0.06767139782478866,0.06696803705787135,0.00541674583339769,0.0034566950962380215,0.002986045830825693,0.003184560577363836,0.04448142188905836,0.03893964169329562,0.03950845876346983,0.03893073288543654,0.04166454336732541,0.04080540826350204,0.04085664523575987,0.04067055286927265,0.005099011383221438,0.005004558905309703,0.005474169465456711,0.004643056836984765,1.0,0.947937190486325,0.942826599306353,0.9352442584660163
LF_-2,0.02443878057258927,0.024325457577126283,0.03744292476244483,0.022907240564820523,0.025484551687724056,0.06638506602746684,0.06695604232952819,0.06817354955688472,0.0679797101328721,0.06961707019655165,0.07273539113655515,0.0685316527460963,0.06744734546908553,0.004826185850835281,0.005465964021129249,0.0034942045380695467,0.003015671333816514,0.039048386380011124,0.04463721940665166,0.039062349043982286,0.0396503621101081,0.04109942689588987,0.04187096781696087,0.04102047445221805,0.0410931455993249,0.00374661072154986,0.005021930023378691,0.005131082135639714,0.006076082115676746,0.947937190486325,1.0,0.9480385395516558,0.9441048098811312
LF_-3,0.023564297851457274,0.024183266311046087,0.02404253956924711,0.037041629229135106,0.022293322277685712,0.0656850171560028,0.06655572162038645,0.06715833998664307,0.068372482130313,0.0689145306762523,0.06908263303587041,0.07234885258250463,0.06810911534722518,0.004200359756136845,0.004789474624672484,0.00540060166479013,0.0033864670920072224,0.0394755848350505,0.03895873114225287,0.04456173137450996,0.03892124348633398,0.04097801422785231,0.041094584579096406,0.04187260872565184,0.04102046984039588,0.004060069087009414,0.0036039590152920475,0.005109238057769803,0.005767692473501638,0.942826599306353,0.9480385395516558,1.0,0.9479958485745329
LF_-4,0.032142245631290804,0.02311176602376999,0.023825680808764443,0.023292565980891564,0.03616336295617474,0.06568201749853353,0.06584915966476643,0.06675290857221909,0.06735118264588538,0.06800394957537607,0.06828034428958521,0.06853933170927186,0.07181892623601638,0.0037308133258001606,0.004065245700844147,0.004555139401960377,0.005130995461835424,0.03767940047275914,0.039192369872879176,0.0385900618605039,0.04416522809298982,0.03979032845739648,0.040770695220006384,0.040872572190944104,0.04163801220027302,0.0039062327573203223,0.003896885831596526,0.0036353677714025708,0.0056968255821478915,0.9352442584660163,0.9441048098811312,0.9479958485745329,1.0
